,,Low_Value_Customers,Loyal_Customers,Recent_Users,Best_Customers,New_Customers,Slipping_Customers
recency,mean,347.14,290.29,444.29,269.21,90.09,208.01
recency,median,327.0,275.0,435.0,249.0,86.0,205.0
recency,min,42.0,53.0,286.0,1.0,1.0,123.0
recency,max,765.0,744.0,773.0,741.0,144.0,306.0
recency,std,121.48,126.84,99.1,145.35,23.23,45.15
frequency,mean,1.0,1.0,1.0,2.12,1.0,1.0
frequency,median,1.0,1.0,1.0,2.0,1.0,1.0
frequency,min,1.0,1.0,1.0,2.0,1.0,1.0
frequency,max,1.0,1.0,1.0,17.0,1.0,1.0
frequency,std,0.0,0.0,0.0,0.52,0.0,0.0
monetary,mean,42.05,581.63,138.01,345.7,123.02,123.48
monetary,median,42.32,411.62,124.1,243.86,96.88,114.42
monetary,min,0.0,215.57,48.55,0.0,0.0,38.13
monetary,max,75.07,13664.08,467.2,7571.63,1024.76,291.44
monetary,std,15.01,556.35,61.25,389.2,93.23,50.81
cluster,count,18072.0,11400.0,25319.0,2997.0,15783.0,22524.0
